Summary,Issue Type,Labels,Description
"[S1] Smart contracts + tests",Epic,S1 C2 C3 C6,"Semaine 1 — Développement des 3 smart contracts Solidity et tests unitaires. Couverture > 80%. Charge totale : 12 points."
"[S1] Init Hardhat + OpenZeppelin + coverage + gas-reporter",Task,S1 C5 C6 1pt,"[1 pt | Très haute | C5 C6] hardhat init. Installer @openzeppelin/contracts @nomicfoundation/hardhat-toolbox solidity-coverage hardhat-gas-reporter. Config solc 0.8.24 optimizer. Structure contracts/ test/ scripts/."
"[S1] VerivoVotingNFT — ERC-721 soul-bound",Task,S1 C2 C3 2pts,"[2 pts | Très haute | C2 C3] ERC-721 OpenZeppelin. mint(address) batchMint(address[]) burn(tokenId). Override _update() revert si from!=0 et to!=0 (soul-bound). Modifier onlyMinter. Events VotingRightMinted VotingRightBurned."
"[S1] VerivoElection — vote close tally getResults",Task,S1 C2 3pts,"[3 pts | Très haute | C2] Structs Choice(bytes32 labelHash uint256 voteCount) enum Status(Open Closed Tallied). Storage choices[] voteCounts mapping hasVoted mapping. vote(uint8) avec modifier onlyEligible. close() et tally() onlyOwner. getResults() view public."
"[S1] VerivoParticipationBadge — ERC-721 standard",Task,S1 C2 C3 2pts,"[2 pts | Moyenne | C2 C3] ERC-721 + ERC721URIStorage. mintBadge(to electionId participated tokenURI). batchMintBadges(). getBadgeInfo(tokenId). badgesOf(address). Transfert autorisé. Event BadgeMinted."
"[S1] Tests VerivoVotingNFT",Task,S1 C6 1pt,"[1 pt | Très haute | C6] Succès : mint batchMint tokenIds burn. Rejets : transferFrom revert safeTransferFrom revert approve revert mint par non-minter mint vers address(0). Couverture > 90%."
"[S1] Tests VerivoElection",Task,S1 C6 2pts,"[2 pts | Très haute | C6] Succès : deploy vote incrémente compteurs hasVoted emit VoteCast close tally getResults 0 votes. Rejets : sans NFT double vote index invalide pas open close/tally par non-owner. Gas vote < 100k."
"[S1] Tests VerivoParticipationBadge",Task,S1 C6 1pt,"[1 pt | Moyenne | C6] Succès : mint batch tokenURI getBadgeInfo badgesOf transferFrom approve. Rejets : mint par non-owner mint vers address(0). Couverture > 80%."
"[S2] Backend complet",Epic,S2 C2 C7,"Semaine 2 — API backend : auth register elections CSV import deploy tally. Charge totale : 10 points."
"[S2] Schema Prisma — User OrganizationMember enums",Task,S2 C2 1pt,"[1 pt | Très haute | C2] Remplacer Admin par User (authMethod walletAddress email passwordHash isCustodial custodialKeyEnc). Ajouter OrganizationMember (orgId userId role). Enums AuthMethod MemberRole. Ajouter schemaName dans Organization. Migration Prisma."
"[S2] POST /auth/register + wallet.service.js",Task,S2 C7 2pts,"[2 pts | Très haute | C7] Mode email : valider hasher password bcrypt ethers.Wallet.createRandom() chiffrer clé AES-256-GCM créer user+org+member+tenant en transaction atomique retourner JWT. wallet.service : generateCustodialWallet() decryptPrivateKey()."
"[S2] Service tenant.service.js — création schéma tenant",Task,S2 C2 1pt,"[1 pt | Très haute | C2] createTenantSchema(slug) : CREATE SCHEMA CREATE TYPE CREATE TABLE pour elections choices voter_registry voter_nfts participation_log election_results. Via Prisma.$executeRawUnsafe."
"[S2] Middleware orgAuth + routes CRUD élections",Task,S2 C7 2pts,"[2 pts | Très haute | C7] orgAuth : vérifier membership et rôle. Routes POST/GET/PUT/DELETE /api/organizations/:slug/elections. Requêtes SQL dans le schéma tenant. Status initial draft. Validation express-validator."
"[S2] Route POST /voters/import — CSV + comptes + registry",Task,S2 C7 2pts,"[2 pts | Très haute | C7] Multer upload. csv-parse auto-détection séparateur. Validation header email/wallet doublons. Créer users + wallets custodial si email inconnu. Insérer voter_registry. Retourner imported created skipped errors."
"[S2] blockchain.service.js + routes deploy close tally results",Task,S2 C7 C8 2pts,"[2 pts | Très haute | C7 C8] Service ethers.js v6 : deployElection deployVotingNFT batchMintNFTs closeElection tallyElection getResults. Route /deploy : vérif pré-conditions deploy batch mint update DB. Routes /close /tally GET /results."
"[S3] Frontend + déploiement Polygon Amoy",Epic,S3 C7 C8,"Semaine 3 — Frontend React connecté blockchain + déploiement testnet Polygon Amoy. Charge totale : 12 points."
"[S3] Setup wagmi viem react-router AuthContext",Task,S3 C7 1pt,"[1 pt | Très haute | C7] npm install react-router-dom wagmi viem @tanstack/react-query. createConfig wagmi polygonAmoy. WagmiProvider QueryClientProvider. AuthContext : user token login logout. Hook useWallet."
"[S3] Page Register + Login",Task,S3 C7 2pts,"[2 pts | Très haute | C7] Register deux onglets email/wallet. Email : formulaire complet + org. Wallet : Connect sign displayName org. POST /auth/register. JWT localStorage. Login email+password. Redirection /dashboard."
"[S3] Dashboard admin + CreateElection + CSV upload",Task,S3 C7 2pts,"[2 pts | Très haute | C7] Dashboard GET /elections liste statuts. CreateElection formulaire multi-étapes config choix CSV récap. CsvUploader drag and drop aperçu erreurs. POST /elections puis POST /voters/import. Bouton Déployer."
"[S3] Page Vote — uninominal + tx wallet ou custodial",Task,S3 C7 2pts,"[2 pts | Très haute | C7] Afficher choix radio buttons. useContractWrite wagmi VerivoElection.vote(choiceIndex) si wallet. POST /vote si custodial. TransactionStatus pending confirmed. Afficher txHash lien Polygonscan."
"[S3] Page PublicResults + Page MyBadges",Task,S3 C7 C3 2pts,"[2 pts | Haute | C7 C3] PublicResults sans auth : tableau résultats stats preuves blockchain liens Polygonscan. MyBadges : grille BadgeCard image titre participation lien explorateur."
"[S3] Script deploy.js + déployer sur Polygon Amoy",Task,S3 C8 1pt,"[1 pt | Très haute | C8] scripts/deploy.js déploie VotingNFT Election ParticipationBadge. Sauvegarde adresses deployments/amoy.json. Faucet MATIC. npx hardhat run scripts/deploy.js --network amoy."
"[S3] Vérifier contrats Polygonscan + test E2E testnet",Task,S3 C8 C6 2pts,"[2 pts | Très haute | C8 C6] npx hardhat verify --network amoy. Test E2E : deploy mint 3 NFTs 3 votes close tally getResults vérifier compteurs. Preuve interactions réseau réel. Screenshots."
"[S4] Sécurité + CI + docs",Epic,S4 C1 C4 C5,"Semaine 4 — Audit sécurité tableau attaques CI/CD hébergement cahier des charges soutenance. Charge totale : 6 points."
"[S4] Slither + gas + tableau attaques connues",Task,S4 C4 2pts,"[2 pts | Haute | C4] Slither sur 3 contrats corriger high/medium. Gas-reporter vote<100k. Tableau 10 attaques SC + 7 attaques web + analyse interactions utilisateur. Contre-mesure pour chacune."
"[S4] Pipeline GitHub Actions + hébergement public",Task,S4 C5 C7 2pts,"[2 pts | Haute | C5 C7] CI .github/workflows/ci.yml : compile test coverage lint. Hébergement frontend Vercel/Netlify backend Railway/VPS. URLs publiques fonctionnelles."
"[S4] Cahier des charges final + soutenance",Task,S4 C1 2pts,"[2 pts | Très haute | C1] Screenshots URLs live adresses contrats Polygonscan schéma fonctionnel. Slides soutenance : contexte apport blockchain archi démo live sécurité argumentaire."
